Conferencia,Division,Equipo
Toronto Raptors,Atlantic Division,Este
Boston Celtics,Atlantic Division,Este
Philadelphia 76ers,Atlantic Division,Este
Brooklyn Nets,Atlantic Division,Este
New York Knicks,Atlantic Division,Este
Milwaukee Bucks,Central Division,Este
Indiana Pacers,Central Division,Este
Chicago Bulls,Central Division,Este
Detroit Pistons,Central Division,Este
Cleveland Cavaliers,Central Division,Este
Miami Heat,Southeast Division,Este
Orlando Magic,Southeast Division,Este
Washington Wizards,Southeast Division,Este
Charlotte Hornets,Southeast Division,Este
Atlanta Hawks,Southeast Division,Este
Denver Nuggets,Northwest Division,Oeste
Utah Jazz,Northwest Division,Oeste
Oklahoma City Thunder,Northwest Division,Oeste
Portland Trail Blazers,Northwest Division,Oeste
Minnesota Timberwolves,Northwest Division,Oeste
Los Angeles Lakers,Pacific Division,Oeste
Los Angeles Clippers,Pacific Division,Oeste
Sacramento Kings,Pacific Division,Oeste
Phoenix Suns,Pacific Division,Oeste
Golden State Warriors,Pacific Division,Oeste
Houston Rockets,Southwest Division,Oeste
Dallas Mavericks,Southwest Division,Oeste
Memphis Grizzlies,Southwest Division,Oeste
New Orleans Pelicans,Southwest Division,Oeste
San Antonio Spurs,Southwest Division,Oeste
